ASIN,Title,Description,Price,List_price,Image_URL
B07KPZZTGS,"Power Bank 25000mAh Huge Capacity BCM Portable Charger Battery Pack Backup Battery Power Pack Dual Inputs 3 Output Ports with Intelligent LCD Compatible Smartphone, Tablet and More",BCM 25000mAh Power BankHuge Capacity,$33.99,,
B01K702S66,"Anker PowerCore Fusion, Portable Charger 5000mAh with Dual USB Wall Charger, Foldable Plug and PowerIQ, Battery Pack for iPhone, iPad, Android, Samsung Galaxy and More",5000,$25.97,,https://images-na.ssl-images-amazon.com/images/I/51LVZM3MZBL._SL1000_.jpg
B079RC1MNV,"Anker PowerCore Lite 10000mAh, USB-C Input (Only), High Capacity Portable Charger, Slim and Light External Battery for iPhone, Samsung Galaxy, and More",The Light and Compact 10000mAh Portable Charger,$33.99,,https://images-na.ssl-images-amazon.com/images/I/61d65EWnxZL._SL1500_.jpg
B00Z9QVE4Q,"Anker PowerCore 13000, Compact 13000mAh 2-Port Ultra-Portable Phone Charger Power Bank with PowerIQ and VoltageBoost Technology for iPhone, iPad, Samsung Galaxy (Black)",,,$36.99,https://images-na.ssl-images-amazon.com/images/I/61Xr%2B5pcOBL._SL1500_.jpg
B01MSESWO6,LG V20 Battery BL-44E1F Genuine Battery V20 Stylo 3 H910 H918 V995 LS997,Genuine OEM Battery LG BL-44E1F 3200mAh for LG V20 Stylo 3 H910 H918 V995 LS997,$12.47,,https://images-na.ssl-images-amazon.com/images/I/513rmfN94sL._SL1300_.jpg
B00KG45W08,"[Upgraded] Poweradd Slim 2 Most Compact 5000mAh External Battery 2.1A Ouput Portable Charger with Smart Charge for iPhones, iPad, Samsung Galaxy, HTC and More - Blue",,$12.99,,https://images-na.ssl-images-amazon.com/images/I/61uEqZLL-4L._SL1200_.jpg
B072KJRJ45,"Galaxy Note 4 Battery RAVPower 3220mAh Li-ion Replacement Battery for Samsung Note 4 N910, N910U 4G LTE, N910V(Verizon), N910T(T-Mobile), N910A(AT&T), N910P(Sprint), NFC Wallet Capable","Any question, please email RAVPower support for help.",$13.99,,https://images-na.ssl-images-amazon.com/images/I/51aX%2BLX4fSL._SL1000_.jpg
B0742NFNN9,"Dual USB Portable Charger - 12,000mAh External Battery Pack - Ultra Slim and Light with Built-in AC Plug and Micro USB Cable - Charges iPhone, Android and More - Pocket Juice by Tzumi",With,$20.99,,https://images-na.ssl-images-amazon.com/images/I/61eXAKakmEL._SL1500_.jpg
B06XS9RMWS,"Anker [Upgraded to 6700mAh] Astro E1 Candy-Bar Sized Ultra Compact Portable Charger, External Battery Power Bank, with High-Speed Charging PowerIQ Technology",Charge your phone on the go.,$23.99,,https://images-na.ssl-images-amazon.com/images/I/51ZNGqPlA0L._SL1200_.jpg
B00VWV8LD4,"Aibocn Power Bank 10,000mAh External Battery Charger with Flashlight for Phone iPad Samsung Galaxy Smartphones Tablet - Upgraded",,$11.99,,https://images-na.ssl-images-amazon.com/images/I/61BII%2BKoNUL._SL1200_.jpg
B01A6L85CC,"Portable Charger Jackery Bolt 6000 mAh - Power bank with built in Lightning Cable [Apple MFi certified] iPhone Battery Charger External Battery Pack, TWICE as FAST as Original iPhone Charger",,$29.99,,https://images-na.ssl-images-amazon.com/images/I/51w3zK98wTL._SL1250_.jpg
B07HK2JB2Q,"Battery Case for iPhone X/XS, 4000mAh Portable Protective Charging Case Extended Rechargeable Battery Pack Charger Case Compatible with iPhone X/XS / 10 (5.8 inch) (Black)",,$39.95,,https://images-na.ssl-images-amazon.com/images/I/61jib88CkBL._SL1500_.jpg
B00IN9HI2I,"Samsung 2800mAh OEM Battery for Galaxy S5, Black/Silver (Discontinued by Manufacturer)","1 Piece - OEM Original Samsung Battery for the Samsung Galaxy S5. Reliable battery power for your Galaxy S5 The Galaxy S5 Battery (2800 mAh) is a high-quality Lithium-Ion battery that has been designed specifically to deliver the most reliable and long-lasting power for your Samsung Galaxy S5. Additional power when you need it. Our Lithium-Ion Battery, exclusively for Samsung Smartphones, offers longer battery life, is reliable and safe, having gone through an exhausting testing and certification process. For long travels or extended use, have the peace of mind of an extra Samsung battery on hand when you need it.",$9.63,,https://images-na.ssl-images-amazon.com/images/I/51Hbe16-MRL._SL1024_.jpg
B01G1XH46M,"Portable Charger RAVPower 22000mAh External Battery Pack 22000 Power Banks 5.8A Output 3-Port (2.4A Input, iSmart 2.0 USB Ports, Li-polymer Phone Charger) For Smartphone Tablet – Black",,$41.99,,https://images-na.ssl-images-amazon.com/images/I/51k-8SdMX9L._SL1000_.jpg
B00MQSMEEE,"External Battery Pack RAVPower 16750mAh Portable Charger, Time-Tested Phone Charger with Dual 2.0 USB Ports & Flashlight, 4.5A Max Output Cell Phone Battery Power Pack for iPhone & Android Devices",,$33.99,,https://images-na.ssl-images-amazon.com/images/I/5187G1XrfkL._SL1000_.jpg
B01JIWQPMW,"Anker PowerCore 26800 Portable Charger, 26800mAh External Battery with Dual Input Port and Double-Speed Recharging, 3 USB Ports for iPhone, iPad, Samsung Galaxy, Android and Other Smart Devices",26800,,$65.99,https://images-na.ssl-images-amazon.com/images/I/61vj2BPDpuL._SL1500_.jpg
B01CU1EC6Y,"Anker PowerCore 5000, Ultra-Compact 5000mAh External Battery with High-Speed Charging Technology, Power Bank for iPhone, iPad, Samsung Galaxy and More",The Ultra-Compact Portable Charger,$21.99,,https://images-na.ssl-images-amazon.com/images/I/616ZChk8IvL._SL1500_.jpg
